direction	position	gene_id	gene_name	source_section	target_section	donor	adjacent_pair
151509_to_151510	8	ENSG00000211897	IGHG3	151509	151510	Br5292	Br5292_pos300
151509_to_151510	9	ENSG00000168314	MOBP	151509	151510	Br5292	Br5292_pos300
151509_to_151510	10	ENSG00000132639	SNAP25	151509	151510	Br5292	Br5292_pos300
151509_to_151510	11	ENSG00000107796	ACTA2	151509	151510	Br5292	Br5292_pos300
151509_to_151510	12	ENSG00000166091	CMTM5	151509	151510	Br5292	Br5292_pos300
151509_to_151510	13	ENSG00000254377	MIR124-2HG	151509	151510	Br5292	Br5292_pos300
151509_to_151510	14	ENSG00000013364	MVP	151509	151510	Br5292	Br5292_pos300
151509_to_151510	15	ENSG00000165215	CLDN3	151509	151510	Br5292	Br5292_pos300
151509_to_151510	16	ENSG00000170775	GPR37	151509	151510	Br5292	Br5292_pos300
151510_to_151509	1	ENSG00000131095	GFAP	151510	151509	Br5292	Br5292_pos300
151510_to_151509	2	ENSG00000123560	PLP1	151510	151509	Br5292	Br5292_pos300
151510_to_151509	3	ENSG00000110484	SCGB2A2	151510	151509	Br5292	Br5292_pos300
151510_to_151509	4	ENSG00000132639	SNAP25	151510	151509	Br5292	Br5292_pos300
151510_to_151509	5	ENSG00000173432	SAA1	151510	151509	Br5292	Br5292_pos300
151510_to_151509	6	ENSG00000143153	ATP1B1	151510	151509	Br5292	Br5292_pos300
151510_to_151509	7	ENSG00000211897	IGHG3	151510	151509	Br5292	Br5292_pos300
151510_to_151509	8	ENSG00000168314	MOBP	151510	151509	Br5292	Br5292_pos300
151510_to_151509	9	ENSG00000107796	ACTA2	151510	151509	Br5292	Br5292_pos300
151510_to_151509	10	ENSG00000087263	OGFOD1	151510	151509	Br5292	Br5292_pos300
151510_to_151509	11	ENSG00000131504	DIAPH1	151510	151509	Br5292	Br5292_pos300
151510_to_151509	12	ENSG00000154146	NRGN	151510	151509	Br5292	Br5292_pos300
151510_to_151509	13	ENSG00000242247	ARFGAP3	151510	151509	Br5292	Br5292_pos300
151510_to_151509	14	ENSG00000167461	RAB8A	151510	151509	Br5292	Br5292_pos300
151510_to_151509	15	ENSG00000101544	ADNP2	151510	151509	Br5292	Br5292_pos300
151510_to_151509	16	ENSG00000141378	PTRH2	151510	151509	Br5292	Br5292_pos300
151669_to_151670	1	ENSG00000132639	SNAP25	151669	151670	Br5595	Br5595_pos0
151669_to_151670	2	ENSG00000110484	SCGB2A2	151669	151670	Br5595	Br5595_pos0
151669_to_151670	3	ENSG00000067715	SYT1	151669	151670	Br5595	Br5595_pos0
151669_to_151670	4	ENSG00000170323	FABP4	151669	151670	Br5595	Br5595_pos0
151669_to_151670	5	ENSG00000123560	PLP1	151669	151670	Br5595	Br5595_pos0
151669_to_151670	6	ENSG00000154277	UCHL1	151669	151670	Br5595	Br5595_pos0
151669_to_151670	7	ENSG00000187479	C11orf96	151669	151670	Br5595	Br5595_pos0
151669_to_151670	8	ENSG00000123416	TUBA1B	151669	151670	Br5595	Br5595_pos0
151669_to_151670	9	ENSG00000211897	IGHG3	151669	151670	Br5595	Br5595_pos0
151669_to_151670	10	ENSG00000101596	SMCHD1	151669	151670	Br5595	Br5595_pos0
151669_to_151670	11	ENSG00000132763	MMACHC	151669	151670	Br5595	Br5595_pos0
151669_to_151670	12	ENSG00000113721	PDGFRB	151669	151670	Br5595	Br5595_pos0
151669_to_151670	13	ENSG00000137802	MAPKBP1	151669	151670	Br5595	Br5595_pos0
151669_to_151670	14	ENSG00000104859	CLASRP	151669	151670	Br5595	Br5595_pos0
151669_to_151670	15	ENSG00000087077	TRIP6	151669	151670	Br5595	Br5595_pos0
151669_to_151670	16	ENSG00000138670	RASGEF1B	151669	151670	Br5595	Br5595_pos0
151670_to_151669	1	ENSG00000132639	SNAP25	151670	151669	Br5595	Br5595_pos0
151670_to_151669	2	ENSG00000123560	PLP1	151670	151669	Br5595	Br5595_pos0
151670_to_151669	3	ENSG00000067715	SYT1	151670	151669	Br5595	Br5595_pos0
151670_to_151669	4	ENSG00000110484	SCGB2A2	151670	151669	Br5595	Br5595_pos0
151670_to_151669	5	ENSG00000123689	G0S2	151670	151669	Br5595	Br5595_pos0
151670_to_151669	6	ENSG00000163032	VSNL1	151670	151669	Br5595	Br5595_pos0
151670_to_151669	7	ENSG00000211897	IGHG3	151670	151669	Br5595	Br5595_pos0
151670_to_151669	8	ENSG00000187479	C11orf96	151670	151669	Br5595	Br5595_pos0
151670_to_151669	9	ENSG00000258283	AC011603.3	151670	151669	Br5595	Br5595_pos0
151670_to_151669	10	ENSG00000139970	RTN1	151670	151669	Br5595	Br5595_pos0
151670_to_151669	11	ENSG00000175356	SCUBE2	151670	151669	Br5595	Br5595_pos0
151670_to_151669	12	ENSG00000010282	HHATL	151670	151669	Br5595	Br5595_pos0
151670_to_151669	13	ENSG00000175928	LRRN1	151670	151669	Br5595	Br5595_pos0
151670_to_151669	14	ENSG00000087301	TXNDC16	151670	151669	Br5595	Br5595_pos0
151670_to_151669	15	ENSG00000136731	UGGT1	151670	151669	Br5595	Br5595_pos0
151670_to_151669	16	ENSG00000171109	MFN1	151670	151669	Br5595	Br5595_pos0
151671_to_151672	1	ENSG00000154146	NRGN	151671	151672	Br5595	Br5595_pos300
151671_to_151672	2	ENSG00000132639	SNAP25	151671	151672	Br5595	Br5595_pos300
151671_to_151672	3	ENSG00000255823	MTRNR2L8	151671	151672	Br5595	Br5595_pos300
151671_to_151672	4	ENSG00000110484	SCGB2A2	151671	151672	Br5595	Br5595_pos300
151671_to_151672	5	ENSG00000067715	SYT1	151671	151672	Br5595	Br5595_pos300
151671_to_151672	6	ENSG00000170323	FABP4	151671	151672	Br5595	Br5595_pos300
151671_to_151672	7	ENSG00000123560	PLP1	151671	151672	Br5595	Br5595_pos300
151671_to_151672	8	ENSG00000132465	JCHAIN	151671	151672	Br5595	Br5595_pos300
151671_to_151672	9	ENSG00000137842	TMEM62	151671	151672	Br5595	Br5595_pos300
151671_to_151672	10	ENSG00000206053	JPT2	151671	151672	Br5595	Br5595_pos300
151671_to_151672	11	ENSG00000211896	IGHG1	151671	151672	Br5595	Br5595_pos300
151671_to_151672	12	ENSG00000139970	RTN1	151671	151672	Br5595	Br5595_pos300
151671_to_151672	13	ENSG00000074410	CA12	151671	151672	Br5595	Br5595_pos300
151671_to_151672	14	ENSG00000165272	AQP3	151671	151672	Br5595	Br5595_pos300
151671_to_151672	15	ENSG00000186166	CCDC84	151671	151672	Br5595	Br5595_pos300
151671_to_151672	16	ENSG00000131788	PIAS3	151671	151672	Br5595	Br5595_pos300
151672_to_151671	1	ENSG00000132639	SNAP25	151672	151671	Br5595	Br5595_pos300
151672_to_151671	2	ENSG00000110484	SCGB2A2	151672	151671	Br5595	Br5595_pos300
151672_to_151671	3	ENSG00000123560	PLP1	151672	151671	Br5595	Br5595_pos300
151672_to_151671	4	ENSG00000255823	MTRNR2L8	151672	151671	Br5595	Br5595_pos300
151672_to_151671	5	ENSG00000067715	SYT1	151672	151671	Br5595	Br5595_pos300
151672_to_151671	6	ENSG00000163032	VSNL1	151672	151671	Br5595	Br5595_pos300
151672_to_151671	7	ENSG00000166819	PLIN1	151672	151671	Br5595	Br5595_pos300
151672_to_151671	8	ENSG00000258283	AC011603.3	151672	151671	Br5595	Br5595_pos300
151672_to_151671	9	ENSG00000128016	ZFP36	151672	151671	Br5595	Br5595_pos300
151672_to_151671	10	ENSG00000101413	RPRD1B	151672	151671	Br5595	Br5595_pos300
151672_to_151671	11	ENSG00000163435	ELF3	151672	151671	Br5595	Br5595_pos300
151672_to_151671	12	ENSG00000138600	SPPL2A	151672	151671	Br5595	Br5595_pos300
151672_to_151671	13	ENSG00000109534	GAR1	151672	151671	Br5595	Br5595_pos300
151672_to_151671	14	ENSG00000154146	NRGN	151672	151671	Br5595	Br5595_pos300
151672_to_151671	15	ENSG00000123975	CKS2	151672	151671	Br5595	Br5595_pos300
151672_to_151671	16	ENSG00000176055	MBLAC2	151672	151671	Br5595	Br5595_pos300
151673_to_151674	1	ENSG00000197971	MBP	151673	151674	Br8100	Br8100_pos0
151673_to_151674	2	ENSG00000132639	SNAP25	151673	151674	Br8100	Br8100_pos0
151673_to_151674	3	ENSG00000123560	PLP1	151673	151674	Br8100	Br8100_pos0
151673_to_151674	4	ENSG00000131095	GFAP	151673	151674	Br8100	Br8100_pos0
151673_to_151674	5	ENSG00000110484	SCGB2A2	151673	151674	Br8100	Br8100_pos0
151673_to_151674	6	ENSG00000211897	IGHG3	151673	151674	Br8100	Br8100_pos0
151673_to_151674	7	ENSG00000154734	ADAMTS1	151673	151674	Br8100	Br8100_pos0
151673_to_151674	8	ENSG00000143153	ATP1B1	151673	151674	Br8100	Br8100_pos0
151673_to_151674	9	ENSG00000234072	AC074117.1	151673	151674	Br8100	Br8100_pos0
151673_to_151674	10	ENSG00000123689	G0S2	151673	151674	Br8100	Br8100_pos0
151673_to_151674	11	ENSG00000107796	ACTA2	151673	151674	Br8100	Br8100_pos0
151673_to_151674	12	ENSG00000211899	IGHM	151673	151674	Br8100	Br8100_pos0
151673_to_151674	13	ENSG00000096717	SIRT1	151673	151674	Br8100	Br8100_pos0
151673_to_151674	14	ENSG00000267458	AC092069.1	151673	151674	Br8100	Br8100_pos0
151673_to_151674	15	ENSG00000163032	VSNL1	151673	151674	Br8100	Br8100_pos0
151673_to_151674	16	ENSG00000204427	ABHD16A	151673	151674	Br8100	Br8100_pos0
151674_to_151673	1	ENSG00000123560	PLP1	151674	151673	Br8100	Br8100_pos0
151674_to_151673	2	ENSG00000131095	GFAP	151674	151673	Br8100	Br8100_pos0
151674_to_151673	3	ENSG00000110484	SCGB2A2	151674	151673	Br8100	Br8100_pos0
151674_to_151673	4	ENSG00000171345	KRT19	151674	151673	Br8100	Br8100_pos0
151674_to_151673	5	ENSG00000139970	RTN1	151674	151673	Br8100	Br8100_pos0
151674_to_151673	6	ENSG00000173432	SAA1	151674	151673	Br8100	Br8100_pos0
151674_to_151673	7	ENSG00000211592	IGKC	151674	151673	Br8100	Br8100_pos0
151674_to_151673	8	ENSG00000137267	TUBB2A	151674	151673	Br8100	Br8100_pos0
151674_to_151673	9	ENSG00000143153	ATP1B1	151674	151673	Br8100	Br8100_pos0
151674_to_151673	10	ENSG00000154734	ADAMTS1	151674	151673	Br8100	Br8100_pos0
151674_to_151673	11	ENSG00000171617	ENC1	151674	151673	Br8100	Br8100_pos0
151674_to_151673	12	ENSG00000255114	AP003392.3	151674	151673	Br8100	Br8100_pos0
151674_to_151673	13	ENSG00000186448	ZNF197	151674	151673	Br8100	Br8100_pos0
151674_to_151673	14	ENSG00000142910	TINAGL1	151674	151673	Br8100	Br8100_pos0
151674_to_151673	15	ENSG00000241563	CORT	151674	151673	Br8100	Br8100_pos0
151674_to_151673	16	ENSG00000131652	THOC6	151674	151673	Br8100	Br8100_pos0
151675_to_151676	1	ENSG00000197971	MBP	151675	151676	Br8100	Br8100_pos300
151675_to_151676	2	ENSG00000132639	SNAP25	151675	151676	Br8100	Br8100_pos300
151675_to_151676	3	ENSG00000123560	PLP1	151675	151676	Br8100	Br8100_pos300
151675_to_151676	4	ENSG00000131095	GFAP	151675	151676	Br8100	Br8100_pos300
151675_to_151676	5	ENSG00000110484	SCGB2A2	151675	151676	Br8100	Br8100_pos300
151675_to_151676	6	ENSG00000211892	IGHG4	151675	151676	Br8100	Br8100_pos300
151675_to_151676	7	ENSG00000123689	G0S2	151675	151676	Br8100	Br8100_pos300
151675_to_151676	8	ENSG00000143153	ATP1B1	151675	151676	Br8100	Br8100_pos300
151675_to_151676	9	ENSG00000189056	RELN	151675	151676	Br8100	Br8100_pos300
151675_to_151676	10	ENSG00000164221	CCDC112	151675	151676	Br8100	Br8100_pos300
151675_to_151676	11	ENSG00000061273	HDAC7	151675	151676	Br8100	Br8100_pos300
151675_to_151676	12	ENSG00000186665	C17orf58	151675	151676	Br8100	Br8100_pos300
151675_to_151676	13	ENSG00000187676	B3GLCT	151675	151676	Br8100	Br8100_pos300
151675_to_151676	14	ENSG00000005801	ZNF195	151675	151676	Br8100	Br8100_pos300
151675_to_151676	15	ENSG00000076513	ANKRD13A	151675	151676	Br8100	Br8100_pos300
151675_to_151676	16	ENSG00000127527	EPS15L1	151675	151676	Br8100	Br8100_pos300
151676_to_151675	1	ENSG00000123560	PLP1	151676	151675	Br8100	Br8100_pos300
151676_to_151675	2	ENSG00000131095	GFAP	151676	151675	Br8100	Br8100_pos300
151676_to_151675	3	ENSG00000139970	RTN1	151676	151675	Br8100	Br8100_pos300
151676_to_151675	4	ENSG00000110484	SCGB2A2	151676	151675	Br8100	Br8100_pos300
151676_to_151675	5	ENSG00000154146	NRGN	151676	151675	Br8100	Br8100_pos300
151676_to_151675	6	ENSG00000173432	SAA1	151676	151675	Br8100	Br8100_pos300
151676_to_151675	7	ENSG00000107796	ACTA2	151676	151675	Br8100	Br8100_pos300
151676_to_151675	8	ENSG00000211892	IGHG4	151676	151675	Br8100	Br8100_pos300
151676_to_151675	9	ENSG00000164603	BMT2	151676	151675	Br8100	Br8100_pos300
151676_to_151675	10	ENSG00000140090	SLC24A4	151676	151675	Br8100	Br8100_pos300
151676_to_151675	11	ENSG00000163032	VSNL1	151676	151675	Br8100	Br8100_pos300
151676_to_151675	12	ENSG00000143033	MTF2	151676	151675	Br8100	Br8100_pos300
151676_to_151675	13	ENSG00000121957	GPSM2	151676	151675	Br8100	Br8100_pos300
151676_to_151675	14	ENSG00000189369	GSPT2	151676	151675	Br8100	Br8100_pos300
151676_to_151675	15	ENSG00000010803	SCMH1	151676	151675	Br8100	Br8100_pos300
151676_to_151675	16	ENSG00000120254	MTHFD1L	151676	151675	Br8100	Br8100_pos300
