component	stage	direction	path	type	status	authoritative	hash	script	config	notes
0_cross_cutting	all	all	results_v10/hyperspatial_map_full_article_20260804_132224/01_freeze/FREEZE_CERTIFICATE.md	freeze_certificate	PASS	yes	50d132541283161ee37e2acde15dd14bd5b6675947d37791a650b0db241d070a	results_v10/hyperspatial_map_full_article_20260804_132224/02_reproducibility/finalize_publication_audit.py	results_v10/hyperspatial_map_full_article_20260804_132224/01_freeze/FULL_4D_ROOT_SHA256SUMS.txt	Archive hash and read-only verification
0_cross_cutting	all	all	results_v10/hyperspatial_map_full_article_20260804_132224/01_freeze/NO_TUNING_LOCK.md	freeze_policy	PASS	yes	48f1dee6f92a3f288b5b1f364a57c6c9464f7eac3114ec2bea2e734a1a94ef8e	results_v10/hyperspatial_map_full_article_20260804_132224/02_reproducibility/finalize_publication_audit.py	results_v10/hyperspatial_map_full_article_20260804_132224/01_freeze/FREEZE_CERTIFICATE.md	No post-outcome tuning permitted
0_cross_cutting	all	all	analysis/residual_landscape/run_audit.py	script	PASS	yes	dc85fa18cc3a9a862944c287d1fab86e8a2296fd49c155dc83c9fc6ada2206bd	self	analysis/residual_landscape/config.py	Existing residual audit script; not invoked
0_cross_cutting	all	all	analysis/residual_landscape/config.py	config	PASS	yes	5a7d5e14a763ba8ac07bdf6a0c20c24af05a4deaf4ec5460fe188c4f7d2413ce	analysis/residual_landscape/run_audit.py	self	Six-target configuration and write-protection guards
1_registration_qc	all	E1→E2;E2→E1	results_v10/hyperspatial_map_cross_stage_frozen_20260803_151726/00_protocol_lock/PROTOCOL_LOCK.json	protocol	PASS	yes	e579bf1f7e55f8223eab3513168cdcdbbff6213e2191c871371516495544bba5	run_hyperspatial_map_stage1b_20260803.py	self	Six-target frozen design; runner hash embedded
1_registration_qc	all	E1→E2;E2→E1	results_v10/hyperspatial_map_cross_stage_frozen_20260803_151726/01_data_audit/POST_RUN_COORDINATE_AUDIT.md	audit	PASS	yes	ce8af29c47845091c949bb2896bae57d102780e7375c9692205f08be05c97a10	summarize_hyperspatial_map_cross_stage_frozen_20260803.py	00_protocol_lock/PROTOCOL_LOCK.json	50%/75% global_sphere; 6-somite raw spatial
1_registration_qc	50%;75%;6-somite	E1→E2;E2→E1	results_v10/hyperspatial_map_cross_stage_frozen_20260803_151726/09_figures_supplementary/source_data/Supplementary_Figure_3_registration_qc.tsv	source_data	PASS	yes	6f703ee39f13de2873ece535aa84878e0df23cabbc25c0468739b4b08f7263c9	generate_hyperspatial_map_supplement_20260803.py	00_protocol_lock/PROTOCOL_LOCK.json	Frozen registration QC values
1_registration_qc	50%;75%;6-somite	E1→E2;E2→E1	results_v10/hyperspatial_map_cross_stage_frozen_20260803_151726/09_figures_supplementary/source_data/Supplementary_Figure_4_coordinate_qc.tsv	source_data	PASS	yes	706957bbc534d471c5742a8b2b7d6bb7ce5813ba0a0250be99559c1a2dae6b4b	generate_hyperspatial_map_supplement_20260803.py	00_protocol_lock/PROTOCOL_LOCK.json	Frozen coordinate orientation/extents
2_anchor_panel	all	E1→E2;E2→E1	results_v10/hyperspatial_map_cross_stage_frozen_20260803_151726/03_anchor_panels/SOURCE_ONLY_ANCHOR_PANELS.tsv	panel	PASS	yes	7d02422b8c89f00dacb010e2fb66922f27b4ce07c3c7cd8c804a7880fc47244f	run_hyperspatial_map_stage1b_20260803.py	00_protocol_lock/PROTOCOL_LOCK.json	96 rows = 16 source-selected anchors × 6 targets
2_anchor_panel	all	E1→E2;E2→E1	results_v10/hyperspatial_map_cross_stage_frozen_20260803_151726/09_figures_supplementary/source_data/Supplementary_Figure_5_anchor_expression_qc.tsv	source_data	PASS	yes	ed62c350ee271c70ef1f1674ab85720fcf7ec5545d311edace1e4c44ced43c4b	generate_hyperspatial_map_supplement_20260803.py	03_anchor_panels/SOURCE_ONLY_ANCHOR_PANELS.tsv	Frozen panel-expression QC
2_anchor_panel	all	E1→E2;E2→E1	results_v10/hyperspatial_map_cross_stage_frozen_20260803_151726/03_anchor_panels/ANCHOR_PROGRAMME_ANNOTATION_LIMITATION.md	limitation	PASS	yes	94eb06571c58698294cea26e89d72a3df9e3f82d5c791747b1986261974f3277	summarize_hyperspatial_map_cross_stage_frozen_20260803.py	00_protocol_lock/PROTOCOL_LOCK.json	No curated programme ontology or matched-random panel control
3_component_ablations	all	E1→E2;E2→E1	results_v10/hyperspatial_map_cross_stage_frozen_20260803_151726/04_predictions/ALL_TARGET_PREDICTIONS_MANIFEST.json	prediction_manifest	PASS	yes	5472a774033d70bfdf29e7b15928159396f87944cd54b051f109f6033445d148	run_hyperspatial_map_stage1b_20260803.py	00_protocol_lock/PROTOCOL_LOCK.json	Six methods × six targets × seeds 42–44
3_component_ablations	all	E1→E2;E2→E1	results_v10/hyperspatial_map_cross_stage_frozen_20260803_151726/05_metrics/COMPONENT_PARETO_RESULTS.tsv	metrics	PASS	yes	ec89f44c740cd33230e5a85f99dd13ba6f1a71b010e479d0132c74747e09cbfd	summarize_hyperspatial_map_cross_stage_frozen_20260803.py	00_protocol_lock/PROTOCOL_LOCK.json	Balanced component ranking
3_component_ablations	all	E1→E2;E2→E1	results_v10/hyperspatial_map_cross_stage_frozen_20260803_151726/05_metrics/METHOD_COMPARISONS_BY_EMBRYO.tsv	metrics	PASS	yes	0153d1fbdbeaeed08db3d4b98d1934d4a064992a06d33bddb85eeb23e837c819	summarize_hyperspatial_map_cross_stage_frozen_20260803.py	00_protocol_lock/PROTOCOL_LOCK.json	Per-target method comparisons
4_all_gene_results	all	E1→E2;E2→E1	results_v10/hyperspatial_map_cross_stage_frozen_20260803_151726/05_metrics/PER_GENE_SPATIAL_AND_RESIDUAL_METRICS.tsv	metrics	PASS	yes	6c969bbeca3aafa1bcee0fe88bc7c94cff57370f92deade774f0a4558763b055	summarize_hyperspatial_map_cross_stage_frozen_20260803.py	00_protocol_lock/PROTOCOL_LOCK.json	10026 data rows; frozen predictable-gene sets
4_all_gene_results	all	E1→E2;E2→E1	results_v10/hyperspatial_map_cross_stage_frozen_20260803_151726/05_metrics/PRIMARY_ENDPOINTS_BY_EMBRYO.tsv	metrics	PASS	yes	eeb94cb07f89b3fc8efd6d913db1e378c2e0ba418e04857bd2ae7ed80999af31	summarize_hyperspatial_map_cross_stage_frozen_20260803.py	00_protocol_lock/PROTOCOL_LOCK.json	Target-volume units retained
4_all_gene_results	all	E1→E2;E2→E1	results_v10/hyperspatial_map_cross_stage_frozen_20260803_151726/05_metrics/RESIDUAL_ENDPOINTS_BY_EMBRYO.tsv	metrics	PASS	yes	e65bc7375f6a8dbd7c3b04cd77086cc421d384b09a156cb63e813b57c9d8c355	summarize_hyperspatial_map_cross_stage_frozen_20260803.py	00_protocol_lock/PROTOCOL_LOCK.json	Specimen-specific residual endpoints
4_all_gene_results	all	E1→E2;E2→E1	results_v10/hyperspatial_map_cross_stage_frozen_20260803_151726/07_biological_modules/DOMAIN_LOCALIZATION_RESULTS.tsv	metrics	PASS	yes	6f269b0e5e1afbf45c2e2235a60a7ab6f434bd4044553fb28d7588e3c0b25d39	summarize_hyperspatial_map_cross_stage_frozen_20260803.py	00_protocol_lock/PROTOCOL_LOCK.json	Frozen domain/localization results
5_guard_calibration	50%	E1→E2	results_v10/hyperspatial_map_cross_stage_frozen_20260803_151726/04_predictions/50p_E1_to_E2/LEAKAGE_AUDIT_COMPLETED.json	leakage_audit	PASS	yes	4ee62d2edaa4a4235b52932c57d269eb148a44d94aa6e606ac12e918ad2b346b	run_hyperspatial_map_stage1b_20260803.py	00_protocol_lock/LOCK_50p_E1_to_E2.json	No hidden target expression before serialization; source-only selection
5_guard_calibration	50%	E2→E1	results_v10/hyperspatial_map_cross_stage_frozen_20260803_151726/04_predictions/50p_E2_to_E1/LEAKAGE_AUDIT_COMPLETED.json	leakage_audit	PASS	yes	d3e2922463953f2a0f39b4908a582142f38c43f4c458a9191b3d6fda8b5c503c	run_hyperspatial_map_stage1b_20260803.py	00_protocol_lock/LOCK_50p_E2_to_E1.json	No hidden target expression before serialization; source-only selection
5_guard_calibration	75%	E1→E2	results_v10/hyperspatial_map_calibrated_20260803_142652/E1_to_E2/LEAKAGE_AUDIT_COMPLETED.json	leakage_audit	PASS	yes	3f44a0fcfc0790af7bb0cc06ef3c8e944846eb290b4838315d8dc666196e04fc	run_hyperspatial_map_stage1b_20260803.py	results_v10/hyperspatial_map_calibrated_20260803_142652/PROTOCOL_LOCK.json	Frozen existing 75% direction
5_guard_calibration	75%	E2→E1	results_v10/hyperspatial_map_reciprocal_frozen_20260803_144112/E2_to_E1/LEAKAGE_AUDIT_COMPLETED.json	leakage_audit	PASS	yes	a7962887e00adb1b2745dd0936898ce56719d3550c9bbb4905b16149620af42a	run_hyperspatial_map_stage1b_20260803.py	results_v10/hyperspatial_map_reciprocal_frozen_20260803_144112/PROTOCOL_LOCK.json	Frozen reciprocal 75% direction
5_guard_calibration	6-somite	E1→E2	results_v10/hyperspatial_map_cross_stage_frozen_20260803_151726/04_predictions/6s_E1_to_E2/LEAKAGE_AUDIT_COMPLETED.json	leakage_audit	PASS	yes	7f50f106d659357483da1d9c58eb0be8d75d3cf4830d38071b9e5515e8f124f2	run_hyperspatial_map_stage1b_20260803.py	00_protocol_lock/LOCK_6s_E1_to_E2.json	No hidden target expression before serialization; source-only selection
5_guard_calibration	6-somite	E2→E1	results_v10/hyperspatial_map_cross_stage_frozen_20260803_151726/04_predictions/6s_E2_to_E1/LEAKAGE_AUDIT_COMPLETED.json	leakage_audit	PASS	yes	1c5a4e412ed5aea281e4df303debeb079512256dd655e2c7ad5156f5f08f011f	run_hyperspatial_map_stage1b_20260803.py	00_protocol_lock/LOCK_6s_E2_to_E1.json	No hidden target expression before serialization; source-only selection
5_guard_calibration	all	E1→E2;E2→E1	results_v10/hyperspatial_map_full_article_20260804_132224/04_3d_consolidation/THREE_D_GUARD_DECISIONS.tsv	guard_decisions	PASS	yes	6726ed9a087c97d1c7af20c9c396954915f253a8658cb451fce2328252883b78	results_v10/hyperspatial_map_full_article_20260804_132224/02_reproducibility/build_publication_package.py	frozen prediction manifests	Per-gene adapted/fallback decisions
5_guard_calibration	all	E1→E2;E2→E1	results_v10/hyperspatial_map_full_article_20260804_132224/04_3d_consolidation/THREE_D_CANDIDATE_SELECTION.tsv	candidate_selection	PASS	yes	3659f565a45e32373cde38845e2facf6c44a1d2e43872be08934f623a69889ad	results_v10/hyperspatial_map_full_article_20260804_132224/02_reproducibility/build_publication_package.py	frozen prediction manifests	Frozen source-only candidate selected per gene
5_guard_calibration	all	E1→E2;E2→E1	results_v10/hyperspatial_map_cross_stage_frozen_20260803_151726/05_metrics/UNCERTAINTY_CALIBRATION.tsv	availability_record	PARTIAL	yes	0624115de4517f12e05a3fd4ba70f1dcbb72853649d18c4f7e1d58af08efaa56	summarize_hyperspatial_map_cross_stage_frozen_20260803.py	00_protocol_lock/PROTOCOL_LOCK.json	Unavailable: no frozen uncertainty output or locked estimator
6_temporal_controls	75% future	E1→E2;E2→E1	results_v10/hyperspatial_map_t_4d_frozen_20260804_112617/01_protocol_lock/PROTOCOL_LOCK.json	protocol	PASS	yes	316ce73367a07ed1c7baeed07b2856fd9c16115417740e175cbd3b30569ec48a	run_hyperspatial_map_t_4d_frozen_20260804.py	self	Frozen before target-late expression; rank 16 and fixed grids
6_temporal_controls	75% future	E1→E2	results_v10/hyperspatial_map_t_4d_frozen_20260804_112617/02_source_validation/fold_A_temporal_guards.tsv	source_validation	PASS	yes	80032dbc47aa1a568140507595a9df742c9b12ee75d7fde86e7dfb1c21de9b6d	run_hyperspatial_map_t_4d_frozen_20260804.py	03_fold_A/FROZEN_FOLD_CONFIG.json	Source-only temporal guard grid
6_temporal_controls	75% future	E2→E1	results_v10/hyperspatial_map_t_4d_frozen_20260804_112617/02_source_validation/fold_B_temporal_guards.tsv	source_validation	PASS	yes	ade133fa8e837be465d736571c1f74ec7cdc821864351f5a566d630f203a5df2	run_hyperspatial_map_t_4d_frozen_20260804.py	04_fold_B/FROZEN_FOLD_CONFIG.json	Source-only temporal guard grid
6_temporal_controls	75% future	E1→E2;E2→E1	results_v10/hyperspatial_map_t_4d_frozen_20260804_112617/05_baselines/ALL_TARGET_PREDICTIONS_MANIFEST.tsv	prediction_manifest	PASS	yes	40724925b45533920954e4ca181294f33f38e579f65b3426973f6006495a35e4	run_hyperspatial_map_t_4d_frozen_20260804.py	01_protocol_lock/PROTOCOL_LOCK.json	MAP-T and frozen temporal/trajectory-free comparators
6_temporal_controls	75% future	E1→E2;E2→E1	results_v10/hyperspatial_map_t_4d_frozen_20260804_112617/08_bootstrap/HIERARCHICAL_BOOTSTRAP_RESULTS.tsv	statistics	PASS	yes	423c80960aa09c43dbf9c77cce2efad31a270ae7a9226e360261cc41ceef7319	postprocess_hyperspatial_map_t_20260804.py	01_protocol_lock/PROTOCOL_LOCK.json	Ancestor-family hierarchical bootstrap
6_temporal_controls	75% future	E1→E2	results_v10/hyperspatial_map_t_4d_frozen_20260804_112617/09_permutations/fold_A_results.tsv	permutation_control	PASS	yes	7fad6b0c1664c1a3f07404234ed6eac2b97815f648c374aca2a8ae443a5d868b	run_hyperspatial_map_t_4d_frozen_20260804.py	03_fold_A/FROZEN_FOLD_CONFIG.json	100 frozen trajectory permutations
6_temporal_controls	75% future	E2→E1	results_v10/hyperspatial_map_t_4d_frozen_20260804_112617/09_permutations/fold_B_results.tsv	permutation_control	PASS	yes	ec925416271c7bf501ed4a54cb0520b89e82939f26d5e634ac5376eaeae47d9d	run_hyperspatial_map_t_4d_frozen_20260804.py	04_fold_B/FROZEN_FOLD_CONFIG.json	100 frozen trajectory permutations
6_temporal_controls	75% future	E1→E2;E2→E1	results_v10/hyperspatial_map_t_4d_frozen_20260804_112617/12_source_data/PER_GENE_METRICS_ALL_FOLDS.tsv	metrics	PASS	yes	c4a3febb18f2459372b120613f9d3261dc7ad1e594e9ff4fc6e9ba243f9f56bd	complete_hyperspatial_map_t_artifacts_20260804.py	01_protocol_lock/PROTOCOL_LOCK.json	5748 frozen per-gene records
6_temporal_controls	75% future	E1→E2;E2→E1	results_v10/hyperspatial_map_t_4d_frozen_20260804_112617/12_source_data/PRIMARY_ENDPOINTS_ALL_FOLDS.tsv	metrics	PASS	yes	a8f6d99284b5c92dd08fd0b4aaf979e569f42c1365e4de8dffd8310c81416fa3	complete_hyperspatial_map_t_artifacts_20260804.py	01_protocol_lock/PROTOCOL_LOCK.json	Reciprocal fold endpoints
6_temporal_controls	75% future	E1→E2;E2→E1	results_v10/hyperspatial_map_t_4d_frozen_20260804_112617/12_source_data/UNCERTAINTY_CALIBRATION_ALL_FOLDS.tsv	calibration	PASS	yes	fb71c8ac329b06163e7db5778165f68076c8797acc4e4b1d949300094ec05e44	complete_hyperspatial_map_t_artifacts_20260804.py	01_protocol_lock/PROTOCOL_LOCK.json	Source-CV sigma and target evaluation coverage
7_tracking_controls	75% future	E1→E2;E2→E1	results_v10/hyperspatial_map_t_4d_frozen_20260804_112617/01_protocol_lock/TRACKING_PROVENANCE_LOCK.json	provenance_lock	PASS	yes	a6da69c99915025f0b84eb2453bd3b5ce945a0ffb5024684747bfa28a6353b73	run_hyperspatial_map_t_4d_frozen_20260804.py	01_protocol_lock/PROTOCOL_LOCK.json	Premodel tracking provenance
7_tracking_controls	75% future	E1→E2	results_v10/hyperspatial_map_t_4d_frozen_20260804_112617/06_tracking_overlap/fold_A_LINEAGE_MANIFEST.tsv	lineage_manifest	PASS	yes	359accfe4b60ed172b88d3c811380678713f2cff6c757a7a543ab0d792ad5e7b	complete_hyperspatial_map_t_artifacts_20260804.py	01_protocol_lock/TRACKING_PROVENANCE_LOCK.json	Full/shared/disjoint lineage membership
7_tracking_controls	75% future	E2→E1	results_v10/hyperspatial_map_t_4d_frozen_20260804_112617/06_tracking_overlap/fold_B_LINEAGE_MANIFEST.tsv	lineage_manifest	PASS	yes	3da2aa82b854b80659a4232012c33e5a48f161f2bdf214b55c69cd131311bd87	complete_hyperspatial_map_t_artifacts_20260804.py	01_protocol_lock/TRACKING_PROVENANCE_LOCK.json	Full/shared/disjoint lineage membership
7_tracking_controls	75% future	E1→E2	results_v10/hyperspatial_map_t_4d_frozen_20260804_112617/07_overlap_excluded_retraining/fold_A_sensitivity.json	sensitivity	PASS	yes	9c09006bab2531b0128199ed15c52fec04bdfff421e5934d4a30da156e7c5a1d	run_hyperspatial_map_t_4d_frozen_20260804.py	03_fold_A/FROZEN_FOLD_CONFIG.json	Previously frozen overlap-excluded sensitivity; no audit rerun
7_tracking_controls	75% future	E2→E1	results_v10/hyperspatial_map_t_4d_frozen_20260804_112617/07_overlap_excluded_retraining/fold_B_sensitivity.json	sensitivity	PASS	yes	1e1a197e48537bfd1a1b796df28c0f97effe160abc524d8b30fd6bea63824895	run_hyperspatial_map_t_4d_frozen_20260804.py	04_fold_B/FROZEN_FOLD_CONFIG.json	Previously frozen overlap-excluded sensitivity; no audit rerun
8_residual_biology	all	E1→E2;E2→E1	results_v10/hyperspatial_map_residual_landscape_20260805_135217/00_provenance/AUDIT_PROVENANCE.json	provenance	PASS	yes	11d6d733495e0235b48b801294058fffe7ab8763c460b8255447130f7a286813	analysis/residual_landscape/run_audit.py	analysis/residual_landscape/config.py	IMMUTABLE; frozen root modified false
8_residual_biology	all	E1→E2;E2→E1	results_v10/hyperspatial_map_residual_landscape_20260805_135217/00_provenance/FROZEN_PREDICTION_HASHES.tsv	hash_manifest	PASS	yes	835efa1c75729b292c8614e2dbe0677863e5f3c10f0fb0cc08d1edce1577da98	analysis/residual_landscape/run_audit.py	analysis/residual_landscape/config.py	108/108 frozen predictions verified
8_residual_biology	all	E1→E2;E2→E1	results_v10/hyperspatial_map_residual_landscape_20260805_135217/00_provenance/RESIDUAL_REPRODUCTION_CHECK.tsv	reproduction_check	PASS	yes	18d429518286fcfd4a6a05eb0542f0fa383d8312b5a7e36d561e8c8a96a6a049	analysis/residual_landscape/run_audit.py	analysis/residual_landscape/config.py	72/72 endpoint reproductions within 1e-05
8_residual_biology	all	E1→E2;E2→E1	results_v10/hyperspatial_map_residual_landscape_20260805_135217/02_structure/RESIDUAL_VARIANCE_DECOMPOSITION.tsv	metrics	PASS	yes	1cf512eea14df95955d7b196fee43c8f9dbcc90b1358ba1e6a5661499a37e4e2	analysis/residual_landscape/structure.py	analysis/residual_landscape/config.py	Structured residual and spatial coherence
8_residual_biology	all	E1→E2;E2→E1	results_v10/hyperspatial_map_residual_landscape_20260805_135217/03_annotation/RESIDUAL_ANNOTATION_ALIGNMENT_BY_GENE.tsv	metrics	PASS	yes	868e3cbfcabaa60e91c9666aa268185251a6bea16696719a996cc63dd40790e2	analysis/residual_landscape/annotation.py	analysis/residual_landscape/config.py	Author-supplied annotation alignment; retrospective
8_residual_biology	all	E1→E2;E2→E1	results_v10/hyperspatial_map_residual_landscape_20260805_135217/04_confounds/DEPTH_PARTIAL_CORRELATION.tsv	robustness	PASS	yes	1009c2209a97fef4cb46939e1c081bdeea4859bf42362113c484a2f4bf704594	analysis/residual_landscape/confounds.py	analysis/residual_landscape/config.py	Depth partial-correlation control
8_residual_biology	all	E1→E2;E2→E1	results_v10/hyperspatial_map_residual_landscape_20260805_135217/04_confounds/REGISTRATION_INSTABILITY_STRATA.tsv	robustness	PASS	yes	742aec041662044b23bff103cdacb589647ed38f64af6d8550265609abb3d36e	analysis/residual_landscape/confounds.py	analysis/residual_landscape/config.py	Registration-instability stratification
8_residual_biology	all	E1→E2;E2→E1	results_v10/hyperspatial_map_residual_landscape_20260805_135217/04_confounds/ANCHOR_PROPAGATION_BY_GENE.tsv	robustness	PASS	yes	a1ab511297bcec0e2a3c4bfc36b40c3c7843a809595c857396da121955d189ad	analysis/residual_landscape/confounds.py	analysis/residual_landscape/config.py	Anchor-propagation dependence
8_residual_biology	all	E1→E2;E2→E1	results_v10/hyperspatial_map_residual_landscape_20260805_135217/04_confounds/SPATIAL_SCALE_DECOMPOSITION.tsv	robustness	PASS	yes	f7d48dfcc6ffd42250d13b2ffec1f7b7048a69181662fc1298487cc9236f38fb	analysis/residual_landscape/confounds.py	analysis/residual_landscape/config.py	Broad/fine spatial-scale recovery
8_residual_biology	all	E1→E2;E2→E1	results_v10/hyperspatial_map_residual_landscape_20260805_135217/04_confounds/COORDINATE_SENSITIVITY.tsv	posthoc_sensitivity	PASS	yes	b15342e6adb00726334ad4abbf564c23d6b96f569d2eee9d5aadec0d7738ffde	analysis/residual_landscape/confounds.py	analysis/residual_landscape/config.py	Existing retrospective sensitivity; no rerun or selection
8_residual_biology	all	E1→E2;E2→E1	results_v10/hyperspatial_map_residual_landscape_20260805_135217/05_report/RESIDUAL_LANDSCAPE_AUDIT.md	report	PASS	yes	bd7091154eb3c15645253c03e6c8b81bbc3e26a5ea26582d1be2d4b3f22b5017	analysis/residual_landscape/report.py	analysis/residual_landscape/config.py	Immutable authoritative interpretation
